brand_id,brand_name,colour,avg_rating
36,agil athletica,Black,0
36,agil athletica,Lavender,5
36,agil athletica,Grey,0
36,agil athletica,Multi,0
36,agil athletica,Navy Blue,0
36,agil athletica,Green,0
36,agil athletica,Beige,0
36,agil athletica,Navy Blue,0
37,ahalyaa,Beige,3.545089029
37,ahalyaa,Maroon,4.215628357
37,ahalyaa,Black,3.181818182
37,ahalyaa,White,4.028985507
37,ahalyaa,Maroon,0
37,ahalyaa,Red,0
37,ahalyaa,Cream,0
37,ahalyaa,Black,0
37,ahalyaa,Off White,3.846153846
37,ahalyaa,Grey,0
37,ahalyaa,Black,3.5
37,ahalyaa,Rust,2
37,ahalyaa,Mauve,0
37,ahalyaa,White,4.642857143
37,ahalyaa,Peach,3.6
37,ahalyaa,Brown,0
37,ahalyaa,Black,0
37,ahalyaa,Blue,0
37,ahalyaa,Maroon,3.78125
37,ahalyaa,Black,0
37,ahalyaa,Sea Green,0
37,ahalyaa,Navy Blue,0
37,ahalyaa,Lime Green,4.057692308
37,ahalyaa,Burgundy,4.75
37,ahalyaa,Grey,3.967741935
37,ahalyaa,Burgundy,0
37,ahalyaa,Orange,4.191489362
37,ahalyaa,Red,3.652173913
37,ahalyaa,Peach,3.619469027
37,ahalyaa,Maroon,3.423076923
37,ahalyaa,Black,4.315789474
37,ahalyaa,Olive,3.5
38,ahika,Black,3.978377362
38,ahika,Teal,4.095425868
38,ahika,Green,4.093285653
38,ahika,Green,3.85701107
38,ahika,Orange,3.851247601
38,ahika,Pink,4.532467532
38,ahika,White,0
38,ahika,Red,4.368181818
38,ahika,Off White,4.264810849
38,ahika,Pink,3.716898428
38,ahika,Purple,4.25
38,ahika,Red,4.133802817
38,ahika,Navy Blue,4
38,ahika,Mustard,0
38,ahika,Mustard,0
38,ahika,Grey,4.444444444
38,ahika,White,3.806060606
38,ahika,Maroon,0
38,ahika,Navy Blue,0
38,ahika,Black,3.613268608
38,ahika,Green,3.842105263
38,ahika,Red,4.102564103
38,ahika,Black,4.074074074
38,ahika,Green,4.328358209
38,ahika,Peach,3.857142857
38,ahika,Pink,3.7234375
38,ahika,Sea Green,3.860869565
38,ahika,Teal,3.721830986
38,ahika,Olive,4.833333333
38,ahika,Beige,0
38,ahika,Peach,4
39,ajile by pantaloons,Pink,4.304347826
39,ajile by pantaloons,Black,4.2
39,ajile by pantaloons,Black,0
39,ajile by pantaloons,Purple,0
39,ajile by pantaloons,Coral,0
39,ajile by pantaloons,Grey,0
39,ajile by pantaloons,Pink,0
39,ajile by pantaloons,Black,3.25
39,ajile by pantaloons,Black,4.714285714
39,ajile by pantaloons,Pink,0
39,ajile by pantaloons,Teal,0
39,ajile by pantaloons,Pink,4
39,ajile by pantaloons,Grey Melange,0
39,ajile by pantaloons,Maroon,0
39,ajile by pantaloons,Coral,0
39,ajile by pantaloons,Yellow,5
40,akheri,Beige,0
40,akheri,White,0
40,akheri,Pink,0
41,akimia,Black,0
41,akimia,Black,3.070921986
41,akimia,Gold,3.413793103
41,akimia,Black,4.092105263
41,akimia,Black,4.092105263
41,akimia,Black,0
42,akiso,Red,0
43,akkriti by pantaloons,Turquoise Blue,0
43,akkriti by pantaloons,Red,0
43,akkriti by pantaloons,Burgundy,0
43,akkriti by pantaloons,Mustard,0
43,akkriti by pantaloons,Grey,0
43,akkriti by pantaloons,Orange,0
43,akkriti by pantaloons,Off White,4.208333333
43,akkriti by pantaloons,Mustard,0
43,akkriti by pantaloons,Mustard,4.375
43,akkriti by pantaloons,Purple,0
43,akkriti by pantaloons,Maroon,4.428571429
43,akkriti by pantaloons,Blue,0
43,akkriti by pantaloons,Pink,0
43,akkriti by pantaloons,Cream,4.4
43,akkriti by pantaloons,Pink,3.954545455
43,akkriti by pantaloons,Blue,3.5
43,akkriti by pantaloons,Off White,4.454545455
43,akkriti by pantaloons,Blue,0
43,akkriti by pantaloons,Fuchsia,3.6
43,akkriti by pantaloons,Turquoise Blue,4.255319149
43,akkriti by pantaloons,Black,0
43,akkriti by pantaloons,Off White,4.384615385
43,akkriti by pantaloons,Off White,0
43,akkriti by pantaloons,Off White,4.195121951
43,akkriti by pantaloons,Black,4.146341463
43,akkriti by pantaloons,Grey,4.129032258
43,akkriti by pantaloons,Yellow,0
43,akkriti by pantaloons,Yellow,3.8
43,akkriti by pantaloons,Cream,3.5
43,akkriti by pantaloons,Off White,0
43,akkriti by pantaloons,Blue,4.333333333
43,akkriti by pantaloons,Navy Blue,5
43,akkriti by pantaloons,Red,0
43,akkriti by pantaloons,Teal,0
43,akkriti by pantaloons,Turquoise Blue,0
43,akkriti by pantaloons,Blue,0
43,akkriti by pantaloons,Navy Blue,0
43,akkriti by pantaloons,Red,3.5
43,akkriti by pantaloons,Off White,0
