brand_id,brand_name,p_id,name,price,colour,rating_Count,avg_rating
8,9teenagain,15910096,9teenAGAIN Orange & Beige Printed Playsuit,2249,Orange,8,3.375
9,a little fable,18492994,A Little Fable Girls Blue & Red Printed Ready to Wear Lehenga & Blouse With Dupatta,2690,Blue,0,0
10,a.t.u.n.,16909118,A.T.U.N. Fuchsia Bubble Knot Pure Cotton Top,1199,Fuchsia,90,4.144444444
10,a.t.u.n.,16909116,A.T.U.N. Fuchsia Bubble Knot Pure Cotton Top,1299,Fuchsia,60,3.883333333
10,a.t.u.n.,16629994,A T U N Girls Yellow & Red Ready to Wear Lehenga & Blouse With Dupatta,2999,Yellow,0,0
10,a.t.u.n.,16630018,A T U N Girls Yellow & Maroon Embellished Ready to Wear Lehenga & Blouse With Dupatta,3199,Yellow,0,0
10,a.t.u.n.,16629958,A T U N Girls Navy Blue & Green Embroidered Ready to Wear Lehenga & Blouse With Dupatta,3199,Navy Blue,0,0
10,a.t.u.n.,16629938,A.T.U.N. Girls Fuchsia & Blue Embroidered Ready to Wear Lehenga & Blouse With Net Dupatta,3199,Fuchsia,0,0
10,a.t.u.n.,16630012,A T U N Girls Off White & Red Embellished Ready to Wear Lehenga & Blouse With Dupatta,3199,Off White,0,0
10,a.t.u.n.,16909128,A T U N Girls Red Bubble Knot Pure Cotton Top,1199,Red,14,4.214285714
10,a.t.u.n.,16804568,A.T.U.N. Girls Red Solid Flared Mini Tutu Skirt,1299,Red,6,2.833333333
10,a.t.u.n.,16804564,A.T.U.N. Girls Orange Solid Flared Mini Skirt,1499,Orange,0,0
10,a.t.u.n.,16909126,A T U N Black Bubble Knot Top,1199,Black,22,4.181818182
10,a.t.u.n.,16909106,A.T.U.N. Navy Blue Pure Cotton Bubble Knot Top,1199,Navy Blue,28,3.964285714
10,a.t.u.n.,16804554,A.T.U.N. Girls Pink Solid Flared Mini Skirt,1299,Pink,0,0
11,aadvika,17986624,AADVIKA Off White & Black Ethnic Motifs Cotton Blend Saree,1599,Off White,0,0
12,aadya fashion,18158828,Aadya Fashion Women Turquoise Blue Full Sleeves Shrug,699,Turquoise Blue,0,0
12,aadya fashion,18158862,Aadya Fashion Women Maroon High-Low Sleeveless Shrug,599,Maroon,0,0
13,aahwan,19020872,AAHWAN Women Black  Solid Tank Crop Top,999,Black,19,4.473684211
13,aahwan,18488444,AAHWAN Women Black Solid High Neck Top,999,Black,12,4.5
13,aahwan,19151188,AAHWAN Women Blue Sleeveless Crop Top,999,Blue,0,0
14,aaliya,17935262,aaliya Navy Blue Floral Embroidered Basic Jumpsuit,2499,Navy Blue,0,0
14,aaliya,17929472,aaliya Women Black Floral Embroidered Chiffon Top,999,Black,0,0
15,aarbee,19031198,aarbee Women Pink & Blue Cardigan,1299,Pink,0,0
15,aarbee,19239776,aarbee Women Green & Yellow Floral Cardigan,1499,Green,0,0
16,aarika,19234504,Aarika Girls Navy Blue Printed Maxi Skirts,1879,Navy Blue,0,0
16,aarika,17331482,Aarika Girls Red Printed Pure Cotton Flared Maxi Skirts,1499,Red,0,0
16,aarika,19236882,Aarika Girls Green & Rose Ready to Wear Lehenga  Choli with Dupatta,1879,Green,0,0
16,aarika,11823910,Aarika Girls Navy Blue & Pink Embroidered Ready to Wear Pattu Pavadai with Dupatta,1749,Navy Blue,264,4.140151515
16,aarika,16730046,Aarika Girls Black Palazzos,1249,Black,9,4
16,aarika,17606102,Aarika Women Brown & Black Animal Print Co-Ord Set,2499,Brown,0,0
16,aarika,14995200,Aarika Girls White & Maroon Floral Printed Ready to Wear Lehenga & Blouse With Dupatta,2499,Off White,0,0
16,aarika,13283978,Aarika Girls Black & Pink Embellished Ready to Wear Lehenga & Blouse with Dupatta,3629,Black,61,4.606557377
16,aarika,15936242,Aarika Girls Maroon & Grey Embellished Sequinned Ruffled Ready to Wear Saree,3629,Maroon,23,4.52173913
16,aarika,18283170,Aarika Girls Navy Blue & Magenta Embroidered Ready to Wear Lehenga & Blouse With Dupatta,2499,Navy Blue,0,0
16,aarika,18283190,Aarika Girls Navy Blue & Orange Ready to Wear Lehenga & Blouse With Dupatta,1749,Navy Blue,0,0
16,aarika,17253108,Aarika Green Floral Printed Pure Cotton Kurti,2629,Green,42,4.523809524
16,aarika,15385186,Aarika Women Gold-Toned Ethnic Motifs Hem Design Handloom Palazzos,1249,Gold,41,4.048780488
16,aarika,19223532,Aarika Women Blue Denim Jacket With Faux Fur Collar,1999,Blue,0,0
16,aarika,19223530,Aarika Women Blue Denim Jacket With Embroidered Detail,1999,Blue,0,0
16,aarika,19223528,Aarika Women Blue Denim Spread Collar Jacket,1999,Blue,0,0
16,aarika,19223524,Aarika Women Blue Denim Jacket With Embroidered Detail,1999,Blue,0,0
16,aarika,17331532,Aarika Girls Navy Blue & Gold-Toned Ethnic Motifs Printed Handloom Palazzos,1249,Navy Blue,0,0
16,aarika,17251852,Aarika Maroon Ethnic Motifs Printed Pure Cotton Kurti,3629,Maroon,12,4
16,aarika,17331574,Aarika Girls Navy Blue Printed Pure Cotton Maxi Skirt,1499,Navy Blue,0,0
16,aarika,16448058,Aarika Black & Gold-Toned Lehenga Saree,4499,Black,0,0
16,aarika,19236900,Aarika Kids Girls Pink & Yellow Ready to Wear Lehenga Choli Set,1879,Pink,0,0
16,aarika,18283184,Aarika Girls Black & Peach-Coloured Embellished Sequinned Ready to Wear Lehenga & Blouse With Dupatta,1879,Black,0,0
16,aarika,17331538,Aarika Girls Black & Golden Ethnic Motifs Printed Handloom Palazzos,1249,Black,0,0
