brand_id,colour
52,Black
52,Purple
52,Navy Blue
52,Navy Blue
52,Pink
52,Black
52,Blue
52,Blue
53,Pink
53,Black
53,Black
53,Black
53,Black
53,Orange
53,Black
53,Orange
53,Orange
53,Rust
53,Orange
53,Mustard
53,Grey Melange
53,Burgundy
53,Navy Blue
53,Rust
53,Mustard
53,Red
53,Purple
53,Rust
53,Peach
53,Peach
53,Orange
53,Coral
53,Coral
53,Navy Blue
53,Yellow
53,Yellow
53,Yellow
53,Black
53,Blue
53,Green
53,Green
53,Mustard
53,Orange
53,Burgundy
53,Green
53,Peach
53,Maroon
53,Burgundy
53,Green
53,Yellow
53,Olive
53,Olive
53,Navy Blue
53,Olive
53,Navy Blue
53,Navy Blue
53,Navy Blue
53,Pink
53,Mustard
53,Pink
53,Navy Blue
53,Grey Melange
53,Green
53,Teal
53,Teal
53,Black
53,Black
53,Pink
53,Pink
53,Green
53,Navy Blue
53,Grey Melange
53,Burgundy
53,Burgundy
53,Burgundy
53,Coral
53,Green
53,Teal
53,Navy Blue
53,Burgundy
53,Burgundy
53,Navy Blue
54,Peach
55,Black
55,Black
56,Grey
57,Blue
57,Black
57,Blue
57,Brown
57,Green
57,Orange
57,Navy Blue
57,Yellow
57,Off White
57,Blue
57,Red
57,Grey
57,Blue
57,Blue
57,Yellow
57,Blue
57,Blue
57,Blue
57,Blue
57,Navy Blue
57,Green
57,Green
57,Blue
57,Cream
57,Green
57,Beige
57,Blue
58,Pink
58,Purple
58,Navy Blue
58,Mustard
58,Teal
59,Turquoise Blue
60,Gold
60,Pink
60,Pink
60,Maroon
61,Green
61,Green
61,Peach
61,Grey
61,Mustard
61,Blue
61,Cream
61,Olive
62,Green
62,Black
62,Black
62,Black
62,Black
62,Pink
62,Black
62,Black
62,Red
62,Pink
62,Brown
62,Red
62,Black
63,Beige
64,Blue
65,White
66,Maroon
66,White
66,Black
66,Peach
66,Blue
66,Blue
66,Navy Blue
66,Blue
66,Maroon
66,Beige
66,Pink
66,White
66,Maroon
66,Pink
66,Maroon
66,Yellow
66,Beige
66,Cream
66,White
66,Purple
66,Red
66,Beige
66,Pink
66,Off White
66,Red
66,Green
66,Black
66,Black
67,Pink
67,White
67,Pink
67,Mustard
67,Navy Blue
67,Beige
67,Maroon
67,Pink
67,Pink
67,Grey
67,Gold
67,Pink
68,Red
68,Beige
68,Blue
68,Blue
68,Pink
68,Purple
68,Blue
68,Purple
68,Pink
68,Teal
68,White
68,Black
68,Black
68,Beige
68,Blue
68,Lime Green
68,Black
68,White
68,Blue
68,Blue
68,Brown
68,Blue
68,Burgundy
68,Green
68,Black
68,Blue
